index,source_node,target_node,weight,day
203,333,1735,636838.5,47
204,333,2410,899998.0,47
205,222,948,359750.0,50
206,222,948,359750.0,50
207,195,692,265000.0,51
208,222,948,359750.0,51
209,172,911,650755.0,52
210,222,681,118750.0,52
211,222,947,535400.0,52
212,244,466,1299102.99,52
213,244,734,1709724.0,52
214,244,783,1527000.0,52
215,245,1006,390000.0,52
216,291,828,799586.0,52
217,291,1352,799330.0,52
218,84,2127,839921.18,54
219,84,2128,900000.0,54
220,96,983,898950.0,54
221,287,1171,290000.0,57
222,300,562,8622128.19,57
223,327,1112,371157.85,57
224,84,2392,703000.0,58
225,21,674,8068460.1,59
226,21,1702,3074989.7,59
227,267,1855,303915.0,59
228,92,1573,748716.92,60
229,150,692,254608.0,60
230,150,1034,664646.0,60
231,161,620,885000.0,61
232,206,1393,887729.7,61
233,84,2127,5000000.0,64
234,84,2128,7000000.0,64
235,335,1470,272000.0,64
236,86,1320,686812.5,65
237,84,1468,1178500.0,66
238,86,1320,456642.9,66
239,121,1386,240016.65,66
240,136,2140,694003.9,66
241,71,467,309153.0,67
242,223,708,449700.0,67
243,17,1432,617430.0,68
244,86,2102,298452.0,68
245,151,1286,891600.0,68
246,84,2141,899730.86,71
247,86,2102,96540.0,71
248,133,568,549752.14,71
249,199,1179,720000.0,71
250,266,617,884207.5,71
251,266,617,768785.0,71
252,340,596,829275.0,71
253,340,596,292875.0,71
254,340,596,888250.0,71
255,56,1152,148520.0,72
256,56,1152,422000.0,72
257,103,773,630343.0,72
258,103,773,625500.2,72
259,195,528,667835.94,72
260,195,528,500860.21,72
261,271,1872,725375.0,72
262,279,966,171446.43,72
263,279,1153,149420.9,72
264,313,987,539800.0,72
265,71,467,416517.5,73
266,199,525,649798.0,73
267,279,1474,599993.53,73
268,279,1585,896079.07,73
269,86,2102,467999.5,74
270,167,783,392000.0,74
271,84,2348,1543043.0,75
272,127,1418,299959.36,75
273,195,528,635001.15,75
274,195,794,499875.25,75
275,195,1034,189991.53,75
276,227,1154,197133.2,75
277,286,1425,480000.0,75
278,335,1470,299500.0,75
279,96,1017,823000.0,78
280,96,1098,894000.0,78
281,14,931,888500.0,79
282,81,2046,449655.47,79
283,88,763,3480870.0,79
284,244,1684,134600.0,79
285,291,695,896600.0,79
286,121,1678,257013.39,80
287,223,934,326000.0,80
288,266,1203,698250.0,80
289,275,1410,260000.0,80
290,285,391,4014000.0,80
291,61,2025,479788.47,81
292,215,1391,575382.0,81
293,222,947,1494600.0,81
294,7,347,474320.0,82
295,49,803,514215.9,82
296,49,803,897424.0,82
297,49,1052,872326.0,82
298,49,1052,897940.0,82
299,49,1296,791870.0,82
300,49,1296,863890.0,82
301,49,1307,830800.0,82
302,49,1307,731360.0,82
303,49,1707,598990.0,82
304,49,2412,619350.0,82
305,64,688,329531.14,82
306,99,1554,891000.0,82
307,157,1098,898500.0,82
308,157,1098,898500.0,82
309,157,1232,897500.0,82
310,211,809,249800.0,82
